id	filename	md5	size	state
04e4d253-180d-4074-b951-2f911ba92967	nationwidechildrens.org_clinical.TCGA-21-5783.xml	f82a0ec3628390c904c1a322f7af12dd	34180	released
075e0ceb-a599-4bfd-9b8f-c573cad825bc	nationwidechildrens.org_clinical.TCGA-66-2787.xml	cb19d355a2fef6017602006599364e2e	33795	released
baddb250-3ef6-4ab5-a0a3-d9547efb197c	nationwidechildrens.org_clinical.TCGA-90-7767.xml	7190b61083bbca1a8043ceca88ed0140	34164	released
07932134-34b4-416c-ad51-84fe07d91dc1	nationwidechildrens.org_clinical.TCGA-18-3421.xml	01c1135af78061dce1f62a0a085131cf	33888	released
535145ac-32c5-47f6-b37f-45896c9acd27	nationwidechildrens.org_clinical.TCGA-85-7843.xml	d2d038ce4f19a907c31ce0c3cff870d5	34027	released
fb99833a-3828-4c4e-a20a-c96ce4330040	nationwidechildrens.org_clinical.TCGA-34-5239.xml	bbb2bc960223c3462d934202d9a333bb	48361	released
bab4b579-4970-451f-9c37-9ebd36c9aa72	nationwidechildrens.org_clinical.TCGA-NC-A5HP.xml	406678d9a084854c33fbce5d674e0b4a	94189	released
59aabe65-cbee-479f-b75d-df030b996067	nationwidechildrens.org_clinical.TCGA-60-2722.xml	17779288fa1875642ff3d1a17dfa5e6d	51425	released
878a5998-4db8-42e0-9cb5-14bbf345ee7b	nationwidechildrens.org_clinical.TCGA-46-3768.xml	5f4ebb4c80502b6c263b6acacfdea12e	53309	released
3d3e18e0-1457-4e2b-ad3e-4329acce24ed	nationwidechildrens.org_clinical.TCGA-94-8491.xml	975a5c3888342e9363d3300585186dca	41648	released
03e6d22f-5fb0-4b43-8fdc-65cd4f19bd80	nationwidechildrens.org_clinical.TCGA-34-A5IX.xml	3f48d17dc72a717a0eae0fc1030d652e	34572	released
1cec45d4-7221-4c41-b87f-08d5dad3d1e6	nationwidechildrens.org_clinical.TCGA-34-5929.xml	e24cf964501cfae38cb2ac737dfaa897	34114	released
7b25e294-6282-4352-8536-bb11993a9bd9	nationwidechildrens.org_clinical.TCGA-68-7757.xml	bc60ec6f598025830e099d1c7bbec48b	34859	released
cf8b97bd-3236-4f57-8842-411f69d970f1	nationwidechildrens.org_clinical.TCGA-92-8065.xml	16a91173cf3a80e55b1f01d61c2db1d5	35311	released
1a0082d5-7193-4832-ba45-53e15c143bb1	nationwidechildrens.org_clinical.TCGA-70-6723.xml	bfa67bd4eecc8d8dd985aaa77b94f056	38982	released
3feae586-034f-42ca-944f-499456732f64	nationwidechildrens.org_clinical.TCGA-MF-A522.xml	c2ce3c9de434e70bbe877052b13294b8	56886	released
18033d98-cb25-40d3-a7da-daf9d5186803	nationwidechildrens.org_clinical.TCGA-85-8582.xml	da0ed6ad3682c74dc33e1c2fbf365ef4	51051	released
e95503d0-c2a1-4ff4-a478-77bb6b0f8308	nationwidechildrens.org_clinical.TCGA-37-3792.xml	024de969f8a4c1b0cc569955aa05095c	33953	released
f9b5eb0e-0252-42ab-80ab-3af0c7ca51ec	nationwidechildrens.org_clinical.TCGA-21-5787.xml	e70e879eb88e1ec08b60130d3e6404eb	44012	released
8da9f191-0cb4-460e-8867-a40942b14311	nationwidechildrens.org_clinical.TCGA-18-3412.xml	5fd4f79b0d3854409c767dd841ccb444	51711	released
9824e7f9-8171-4fad-84fe-828e7e7ebd98	nationwidechildrens.org_clinical.TCGA-NK-A5CR.xml	dc6f015a7226a973ca07d6c0aac42337	34852	released
473e603c-925a-4aa6-ad9a-985d497e2098	nationwidechildrens.org_clinical.TCGA-56-6546.xml	fc0ca30d1b57f2d849c3c2438801e8b8	34042	released
ad55c9e2-69d1-4932-927b-8e7cfecdc7c5	nationwidechildrens.org_clinical.TCGA-56-A4ZK.xml	bbe73581d7354f4d6d16eca538ad4272	34799	released
b6ec8d29-f25f-4b97-a3e5-78318c25e411	nationwidechildrens.org_clinical.TCGA-56-8308.xml	0edd3718c41b6dfc527cacfaf3a82e2e	51357	released
c78bfd5d-4b1e-4f0b-b682-0babe1288407	nationwidechildrens.org_clinical.TCGA-98-A53I.xml	f0deb559d69fc340f6bb7b29914f622d	46592	released
90fabc0e-570b-4a66-9c7e-d83c761fdc05	nationwidechildrens.org_clinical.TCGA-60-2706.xml	9176a84eaa6e8fbd4cba03d6dacb7bb2	42056	released
3fe73298-db0c-4593-be2f-f9a549e97dfa	nationwidechildrens.org_clinical.TCGA-66-2759.xml	b36b9261304e52e1f467f716672d06f1	50305	released
cbabd2f9-ef40-49e6-b976-7d0762d6020b	nationwidechildrens.org_clinical.TCGA-77-8148.xml	d3a707dbf204400ffdc41895941d035c	42730	released
1421007d-d54b-4c27-9b6d-287a326dbc63	nationwidechildrens.org_clinical.TCGA-85-A510.xml	d94c688768724f4c8ea634eb2f3631b7	35322	released
19da510c-9814-4b20-9b54-93bfbc4c6e14	nationwidechildrens.org_clinical.TCGA-34-8454.xml	91864b9f5a8a1dc6ac3688a05ebfd523	54383	released
18426c20-64ab-41c6-9336-48ce2c1097ed	nationwidechildrens.org_clinical.TCGA-98-A53B.xml	e4ae4f2f0d4f215e82bd68b00158910e	26737	released
ebd9668d-7e8c-4649-8365-88e9d1e4d2d4	nationwidechildrens.org_clinical.TCGA-34-2609.xml	0090bed9be372e80a36e5fd6723a7053	86300	released
aff218e3-ef94-4627-94a6-195a015503cd	nationwidechildrens.org_clinical.TCGA-63-A5MP.xml	30b22c120e5ed2052717cf565704d0d6	43841	released
e2e5c171-00b6-4046-83fe-8756789f031e	nationwidechildrens.org_clinical.TCGA-56-A5DS.xml	209edeeeb54530d1f356f28d30673bbe	34602	released
240c9a63-316c-4bef-a8cb-bd62fc4b563e	nationwidechildrens.org_clinical.TCGA-60-2697.xml	2565cc997a8ff1d3eca52d8bc32988f2	88342	released
c8189bed-e1ec-4d5a-ad97-7f159ac5424c	nationwidechildrens.org_clinical.TCGA-43-7657.xml	6c9f3054e695bde85d21aba87c3cf1be	34567	released
2d6c1fda-5848-468a-bf9e-ef380dc99962	nationwidechildrens.org_clinical.TCGA-34-8456.xml	969c629feca076d6c372609ab274be4d	34536	released
3f9a3eed-4e47-4546-9a1d-f23e2c08d8d4	nationwidechildrens.org_clinical.TCGA-85-6175.xml	536bcf2c0736cb753e5cba74431aa2b6	34281	released
71c2ae7d-ed43-4165-aa64-12c3f13800bd	nationwidechildrens.org_clinical.TCGA-18-5595.xml	ae5fd6fcf21ee20e33c3544cf3624404	25411	released
ba988606-c9c3-4962-9484-6f04b9e6903f	nationwidechildrens.org_clinical.TCGA-NC-A5HF.xml	ca3f303e4ead558ac9396d59f2d7cb05	31673	released
698db979-99ab-459e-9675-ac8a599cfb71	nationwidechildrens.org_clinical.TCGA-43-5670.xml	260e92d2ce0c0a023044b6c30d7565c4	55439	released
bbcf14e8-e5eb-42c6-96ad-47ffa1603253	nationwidechildrens.org_clinical.TCGA-18-3411.xml	6f6f3e1414485ddef6296675f5ad7b5f	33552	released
066f8a23-b7f3-4914-ae48-d5b86e7d2584	nationwidechildrens.org_clinical.TCGA-J1-A4AH.xml	4889f36e76c0e133c568b9dfcbb82331	46472	released
cca5b440-82ae-4fc1-8f57-264ccbedd7e7	nationwidechildrens.org_clinical.TCGA-77-7139.xml	81f2edefcf31dddecff0e7ab4e7a9984	47129	released
ece68fc3-b525-4896-8d03-c40f8bd72590	nationwidechildrens.org_clinical.TCGA-34-2608.xml	649aca66cfb10842569538e845791695	33908	released
0308fb0c-0a21-4853-8859-f3d271ea613b	nationwidechildrens.org_clinical.TCGA-22-5480.xml	979daed4438ccc909b1c0ddc266ef09b	57999	released
aecf2cd2-68cb-4997-9e34-dd5647af038c	nationwidechildrens.org_clinical.TCGA-77-7141.xml	f0f13fdeeb0e31432410e5884ac563f0	42041	released
cf1099f0-a894-49c3-9e99-97485e291986	nationwidechildrens.org_clinical.TCGA-77-7338.xml	ad5be89b86951bf5f8409425bc0f5fce	33945	released
